🔭 Listening for ESP32S2 Debug/Info messages on 10.10.5.93 port 4210...

[03:37:37 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:42 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:47 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:52 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:37:57 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:02 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:07 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:12 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:17 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:22 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:27 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:32 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:37 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:38:39 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:38:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:38:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:38:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:38:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:47 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:39:47 - 192.168.137.91] [DCSBIOS] Aircraft Name:
[03:39:49 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:39:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:02 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:07 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:12 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:17 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:22 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:27 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:32 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:37 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:42 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:47 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:52 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
[03:40:57 - 192.168.137.91] [DCSBIOS] Aircraft Name: FA-18C_hornet
