# Compile warnings — RS485_MASTER_CMWS_DISPLAY_WIFI — 2026-02-28 19:58:07
# Code warnings: 0  |  Framework warnings: 61

# ── Framework / SDK warnings (ESP-IDF, TinyUSB, etc.) ────────
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::password' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::ssid_len' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::channel' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::authmode' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::ssid_hidden' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::max_connection' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::beacon_interval' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::csa_count' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::dtim_period' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::pairwise_cipher' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::ftm_responder' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::pmf_cfg' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::sae_pwe_h2e' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::transition_disable' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::sae_ext' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::bss_max_idle_cfg' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\hardware\esp32\3.3.6\libraries\WiFi\src\WiFi.cpp:70:26: warning: missing initializer for member 'wifi_ap_config_t::gtk_rekey_interval' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:154:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::rts' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:162:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::dtr' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:154:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::rts' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:162:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::dtr' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:154:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::rts' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/arduino_tinyusb/tinyusb/src/class/cdc/cdc_host.h:162:58: warning: missing initializer for member 'cdc_line_control_state_t::<unnamed struct>::dtr' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::doutdin' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::reserved1' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::qpi_mode' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::opi_mode' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::tsck_i_edge' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::cs_hold' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::cs_setup' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::rsck_i_edge' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::ck_out_edge' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::reserved10' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::fwrite_dual' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::fwrite_quad' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::fwrite_oct' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::usr_conf_nxt' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::reserved16' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::sio' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::reserved18' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::usr_miso_highpart' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::usr_mosi_highpart' [-Wmissing-field-initializers]
C:\Users\jaltu\AppData\Local\Arduino15\packages\esp32\tools\esp32s3-libs\3.3.6/include/hal/esp32s3/include/hal/gpspi_flash_ll.h:191:5: warning: missing initializer for member 'spi_dev_s::<unnamed union>::<unnamed struct>::usr_dummy_idle' [-Wmissing-field-initializers]
